"time","timePretty","ANGLE","isReviewed","isReviewedPositiveSighting"
"1539943676924",,"CLOSE",,
"1539843448892",,"UPROAD",,
"1539819712899",,"UPROAD",,
"1539811919385",,"CLOSE",,
"1539662201084",,"UPROAD",,
"1539851940661",,"UPROAD",,
"1539634371394",,"UPROAD",,
"1539914629122",,"UPROAD",,
"1539669499674",,"CLOSE",,
"1539809887577",,"UPROAD",,
"1539631314483",,"UPROAD",,
"1539949422659",,"UPROAD",,
"1539861297644",,"UPROAD",,
"1539735011708",,"UPROAD",,
"1539813887373",,"UPROAD",,
"1539846176913",,"UPROAD",,
"1539751823229",,"UPROAD",,
"1539672421816",,"UPROAD",,
"1539808482591",,"UPROAD",,
"1539649885052",,"UPROAD",,
"1539819312069",,"CLOSE",,
"1539750440111",,"CLOSE",,
"1539625435619",,"CLOSE",,
"1539952136002",,"CLOSE",,
"1539672461618",,"UPROAD",,
"1539800292273",,"UPROAD",,
"1539737373368",,"CLOSE",,
"1539649413307",,"CLOSE",,
"1539736670665",,"UPROAD",,
"1539635813087",,"UPROAD",,
"1539853271315",,"CLOSE",,
"1539801629899",,"UPROAD",,
"1539662892858",,"CLOSE",,
"1539846996351",,"CLOSE",,
"1539841678988",,"CLOSE",,
"1539649822788",,"UPROAD",,
"1539762778170",,"CLOSE",,
"1539660498854",,"UPROAD",,
"1539668459076",,"CLOSE",,
"1539824700832",,"CLOSE",,
"1539760845811",,"CLOSE",,
"1539755055904",,"UPROAD",,
"1539731587719",,"UPROAD",,
"1539627249574",,"CLOSE",,
"1539669126888",,"CLOSE",,
"1539667776966",,"CLOSE",,
"1539671644460",,"UPROAD",,
"1539812506307",,"UPROAD",,
"1539671420782",,"UPROAD",,
"1539820888373",,"UPROAD",,
"1539666811903",,"CLOSE",false,
"1539909206976",,"UPROAD",,
"1539664398198",,"CLOSE",,
"1539761989149",,"UPROAD",,
"1539932480652",,"UPROAD",,
"1539851700975",,"UPROAD",,
"1539742448196",,"CLOSE",,
"1539802297036",,"UPROAD",,
"1539805357461",,"CLOSE",,
"1539635809714",,"UPROAD",,
"1539626925605",,"CLOSE",,
"1539913820554",,"CLOSE",,
"1539669911507",,"CLOSE",,
"1539669536777",,"CLOSE",,
"1539630746238",,"UPROAD",,
"1539940895474",,"UPROAD",,
"1539824487276",,"UPROAD",,
"1539856544029",,"UPROAD",,
"1539635327440",,"CLOSE",,
"1539852275925",,"CLOSE",,
"1539804299078",,"UPROAD",,
"1539945310635",,"CLOSE",,
"1539938352828",,"UPROAD",,
"1539828689082",,"UPROAD",,
"1539811358346",,"CLOSE",,
"1539818498949",,"UPROAD",,
"1539670885712",,"CLOSE",,
"1539869479952",,"UPROAD",,
"1539845540888",,"CLOSE",,
"1539856627808",,"UPROAD",,
"1539654021715",,"CLOSE",,
"1539864956219",,"CLOSE",,
"1539838514267",,"CLOSE",,
"1539859074904",,"UPROAD",,
"1539751073228",,"UPROAD",,
"1539657901030",,"CLOSE",,
"1539741689053",,"CLOSE",,
"1539849260616",,"UPROAD",,
"1539848841973",,"UPROAD",,
"1539806664870",,"UPROAD",,
"1539660967047",,"UPROAD",,
"1539659896753",,"CLOSE",,
"1539848509991",,"UPROAD",,
"1539757348266",,"UPROAD",,
"1539651087929",,"CLOSE",,
"1539650806766",,"CLOSE",,
"1539662802840",,"CLOSE",,
"1539657677561",,"CLOSE",,
"1539670554060",,"UPROAD",,
"1539910090547",,"UPROAD",,
"1539748708592",,"UPROAD",,
"1539642182303",,"CLOSE",,
"1539811601823",,"UPROAD",,
"1539664428988",,"UPROAD",,
"1539940920157",,"UPROAD",,
"1539820898962",,"CLOSE",,
"1539849736436",,"UPROAD",,
"1539809655008",,"UPROAD",,
"1539761531816",,"UPROAD",,
"1539814365236",,"UPROAD",,
"1539634818318",,"CLOSE",,
"1539663300129",,"UPROAD",,
"1539844383098",,"UPROAD",,
"1539670912883",,"UPROAD",,
"1539760170454",,"CLOSE",,
"1539829113737",,"CLOSE",,
"1539663636451",,"CLOSE",,
"1539954688104",,"CLOSE",,
"1539804517873",,"CLOSE",,
"1539848933136",,"UPROAD",,
"1539822273997",,"UPROAD",,
"1539667758610",,"CLOSE",,
"1539829450159",,"UPROAD",,
"1539760354658",,"CLOSE",,
"1539660230194",,"CLOSE",,
"1539819866853",,"UPROAD",,
"1539762931975",,"UPROAD",,
"1539651442064",,"UPROAD",,
"1539733600968",,"UPROAD",,
"1539649316954",,"CLOSE",,
"1539834153300",,"UPROAD",,
"1539730414773",,"UPROAD",,
"1539666619531",,"CLOSE",,
"1539761386062",,"CLOSE",,
"1539814860327",,"CLOSE",,
"1539636889904",,"UPROAD",,
"1539648340321",,"CLOSE",,
"1539818914120",,"CLOSE",,
"1539941514092",,"CLOSE",,
"1539942348724",,"CLOSE",,
"1539865853536",,"UPROAD",,
"1539941006904",,"CLOSE",,
"1539811595552",,"CLOSE",,
"1539836332516",,"CLOSE",,
"1539663675643",,"UPROAD",,
"1539661161133",,"CLOSE",,
"1539656177398",,"UPROAD",,
"1539743216976",,"CLOSE",,
"1539819443871",,"CLOSE",,
"1539649161634",,"UPROAD",,
"1539836152669",,"UPROAD",,
"1539671329275",,"CLOSE",,
"1539849676520",,"CLOSE",,
"1539650180576",,"UPROAD",,
"1539662450526",,"UPROAD",,
"1539813885643",,"UPROAD",,
"1539838066519",,"UPROAD",,
"1539672412016",,"UPROAD",,
"1539804355653",,"CLOSE",,
"1539669051506",,"CLOSE",,
"1539864160455",,"CLOSE",,
"1539748019861",,"UPROAD",,
"1539669939744",,"CLOSE",,
"1539838375556",,"UPROAD",,
"1539649027697",,"UPROAD",,
"1539933358837",,"UPROAD",,
"1539759071722",,"UPROAD",,
"1539943691333",,"UPROAD",,
"1539850613151",,"CLOSE",,
"1539649536571",,"UPROAD",,
"1539861909964",,"UPROAD",,
"1539829757670",,"UPROAD",,
"1539752897001",,"CLOSE",,
"1539761735775",,"UPROAD",,
"1539668552066",,"UPROAD",,
"1539657045936",,"UPROAD",,
"1539741820838",,"CLOSE",,
"1539629331871",,"CLOSE",,
"1539761948121",,"UPROAD",,
"1539837271103",,"UPROAD",,
"1539670503882",,"CLOSE",,
"1539956521680",,"UPROAD",,
"1539757855453",,"CLOSE",,
"1539737393034",,"UPROAD",,
"1539660581059",,"UPROAD",,
"1539653215974",,"CLOSE",,
"1539861996598",,"UPROAD",,
"1539649542462",,"UPROAD",,
"1539835820121",,"UPROAD",,
"1539817270009",,"CLOSE",,
"1539771725852",,"UPROAD",,
"1539804458414",,"CLOSE",,
"1539862899807",,"UPROAD",,
"1539626938327",,"CLOSE",,
"1539666926452",,"CLOSE",,
"1539628480792",,"CLOSE",,
"1539723242194",,"CLOSE",,
"1539809225992",,"CLOSE",,
"1539840780915",,"CLOSE",,
"1539932722719",,"UPROAD",,